Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
At4g08920,GO:0009583,GO:0071000,GO:1901672,GO:0010343,GO:0072387,GO:1901371,GO:1901529,GO:1902448,GO:0046283,GO:0051510,GO:0010617,GO:0010117,GO:1902347,GO:1901332,GO:0010310,GO:0099402,GO:0060918,GO:0010244,GO:1900426,GO:0010075,GO:0009785,GO:0009638,GO:2000377,GO:0042752,GO:0010118,GO:0009646,GO:0009640,GO:0018298,GO:0010218,GO:0009637,GO:0010114,GO:0009644,GO:0007623,GO:0009416,GO:0046777,GO:0009414,GO:0006952,GO:0055114
At2g32700,GO:0048359,GO:0080001,GO:0010393,GO:1902183,GO:0010272,GO:0071217,GO:0045995,GO:1901001,GO:1902074,GO:0046898,GO:0009827,GO:2000024,GO:0047484,GO:0010192,GO:0010073,GO:0009944,GO:0001666,GO:0009909,GO:0006974,GO:0009624,GO:0009620,GO:0009617,GO:0045892,GO:0030154,GO:0009908,GO:0045893,GO:0009611,GO:0009414,GO:0009733,GO:0006979,GO:0006351,,,,,,,
At2g18790,GO:0009649,GO:0010202,GO:0017012,GO:0010148,GO:0009584,GO:0010617,GO:0010018,GO:0010161,GO:0010244,GO:0009687,GO:2000028,GO:0010374,GO:0006325,GO:0009638,GO:0010029,GO:0009867,GO:0009630,GO:0010218,GO:0009640,GO:0009585,GO:0018298,GO:0031347,GO:0000160,GO:0023014,GO:0015979,GO:0009409,GO:0006351,GO:0006355,,,,,,,,,,
At3g52430,GO:1901183,GO:0071327,GO:1900367,GO:0080151,GO:0010618,GO:0010310,GO:0009862,GO:0010942,GO:0080142,GO:0010225,GO:2000031,GO:0002213,GO:1900426,GO:0031348,GO:0051707,GO:0009625,GO:0010105,GO:0009816,GO:2000022,GO:0001666,GO:0009627,GO:0009626,GO:0010150,GO:0009617,GO:0016042,GO:0009751,GO:0009873,GO:0008150,,,,,,,,,,
At4g32551,GO:0051512,GO:0010393,GO:0048359,GO:0071217,GO:0080001,GO:0010272,GO:1902074,GO:1902183,GO:0046898,GO:2000024,GO:0045995,GO:0010073,GO:0009944,GO:0001666,GO:0006974,GO:0009909,GO:0009624,GO:0009620,GO:0009617,GO:0045892,GO:0030154,GO:0009908,GO:0009611,GO:0009414,GO:0009733,GO:0006979,GO:0006351,,,,,,,,,,,
At1g04400,GO:0009909,GO:0018298,GO:0009637,GO:0051607,GO:0010118,GO:0009638,GO:0006325,GO:0010244,GO:1902347,GO:0010617,GO:2000379,GO:0072387,GO:1901371,GO:0046777,GO:0009416,GO:0016569,GO:0007623,GO:0006338,GO:0009911,GO:0009646,GO:0042752,GO:2000028,GO:0009785,GO:0010075,GO:0048574,GO:0009414,,,,,,,,,,,,
At1g50030,GO:0030307,GO:0010929,GO:0010116,GO:0010507,GO:1900459,GO:0009745,GO:0040019,GO:0050687,GO:1901355,GO:1902661,GO:2000234,GO:0009303,GO:0009791,GO:0009688,GO:0036092,GO:0009615,GO:0009630,GO:0009742,GO:0045893,GO:0006281,GO:0009733,GO:0009793,GO:0009734,GO:0006952,GO:0006468,,,,,,,,,,,,,
At4g29040,GO:0080129,GO:0051788,GO:0007292,GO:0035266,GO:0048827,GO:0048232,GO:0060968,GO:0010015,GO:0045899,GO:1901800,GO:0090351,GO:0009933,GO:0010078,GO:0048829,GO:0043248,GO:0030433,GO:0010311,GO:0009965,GO:0048367,GO:0045087,GO:0009408,GO:0048364,GO:0043161,GO:0046686,,,,,,,,,,,,,,
At1g66340,GO:0002237,GO:1900140,GO:0018106,GO:0050665,GO:0009727,GO:0010182,GO:0010105,GO:0052544,GO:0009690,GO:0009625,GO:0071281,GO:0001944,GO:0010119,GO:0009739,GO:0023014,GO:0009723,GO:0009408,GO:0051301,GO:0042742,GO:0009873,GO:0009733,GO:0009737,GO:0009651,GO:0006952,,,,,,,,,,,,,,
At3g12280,GO:0010377,GO:2000653,GO:0022619,GO:0051783,GO:2000036,GO:1903866,GO:0006349,GO:0001708,GO:0008356,GO:0000082,GO:0048229,GO:0001558,GO:0032875,GO:0007129,GO:0016032,GO:0010090,GO:0051726,GO:0009567,GO:0009553,GO:0048366,GO:0006357,GO:0030154,GO:0009555,GO:0006351,,,,,,,,,,,,,,
